Date,Price,Open,High,Low,Vol.,Change %,change
07/11/2023,"17,155.23","16,963.13","17,223.84","16,903.96",140.62M,1.13%,Positive
07/10/2023,"16,963.13","16,555.12","16,970.35","16,555.12",135.18M,2.46%,Positive
07/09/2023,"16,555.12","17,102.30","17,104.24","16,555.12",170.77M,-3.20%,Negative
07/06/2023,"17,102.30","17,380.33","17,430.07","17,078.65",116.18M,-1.60%,Negative
07/05/2023,"17,380.33","17,466.18","17,564.24","17,380.33",104.72M,-0.49%,Negative
07/04/2023,"17,466.18","17,665.29","17,729.98","17,376.50",93.58M,-1.13%,Negative
06/26/2023,"17,665.29","17,287.64","17,665.29","17,287.64",118.38M,2.18%,Positive
06/25/2023,"17,287.64","17,712.93","17,743.13","17,287.64",153.03M,-2.40%,Negative
06/22/2023,"17,712.93","17,706.08","17,720.40","17,579.97",151.62M,0.04%,Positive
06/21/2023,"17,706.08","17,921.92","17,933.51","17,685.24",124.58M,-1.20%,Negative
06/20/2023,"17,921.92","17,988.95","18,071.47","17,860.93",138.65M,-0.37%,Negative
06/19/2023,"17,988.95","18,026.17","18,217.67","17,872.61",201.13M,-0.21%,Negative
06/18/2023,"18,026.17","17,881.52","18,096.20","17,881.52",134.60M,0.81%,Positive
06/15/2023,"17,881.52","17,873.28","17,892.29","17,739.67",183.66M,0.05%,Positive
06/14/2023,"17,873.28","17,866.81","18,056.54","17,848.62",245.98M,0.04%,Positive
06/13/2023,"17,866.81","17,704.58","17,949.17","17,704.58",294.67M,0.92%,Positive
06/12/2023,"17,704.58","17,739.63","17,856.21","17,655.28",107.10M,-0.20%,Negative
06/11/2023,"17,739.63","17,521.36","17,825.96","17,521.36",398.42M,1.25%,Positive
06/08/2023,"17,521.36","17,347.57","17,521.36","17,304.72",180.68M,1.00%,Positive
06/07/2023,"17,347.57","17,491.18","17,602.02","17,315.75",331.49M,-0.82%,Negative
06/06/2023,"17,491.18","17,345.90","17,637.95","17,345.90",352.84M,0.84%,Positive
06/05/2023,"17,345.90","17,455.48","17,570.55","17,341.28",311.90M,-0.63%,Negative
06/04/2023,"17,455.48","17,533.31","17,706.61","17,452.89",398.42M,-0.44%,Negative
06/01/2023,"17,533.31","17,495.77","17,629.17","17,495.77",261.47M,0.21%,Positive
05/31/2023,"17,495.77","17,534.59","17,747.07","17,495.77",269.80M,-0.22%,Negative
05/30/2023,"17,534.59","17,211.84","17,544.85","17,211.84",250.90M,1.88%,Positive
05/29/2023,"17,211.84","17,131.45","17,217.13","17,065.03",174.92M,0.47%,Positive
05/28/2023,"17,131.45","17,043.62","17,161.31","17,043.62",147.49M,0.52%,Positive
05/25/2023,"17,043.62","17,090.56","17,240.66","17,043.62",152.08M,-0.27%,Negative
05/24/2023,"17,090.56","16,787.71","17,090.56","16,787.71",174.92M,1.80%,Positive
05/23/2023,"16,787.71","16,764.41","16,790.33","16,636.86",155.96M,0.14%,Positive
05/22/2023,"16,764.41","16,860.88","17,034.88","16,748.81",122.16M,-0.57%,Negative
05/21/2023,"16,860.88","16,745.54","16,937.01","16,745.32",131.40M,0.69%,Positive
05/18/2023,"16,745.54","16,844.01","16,875.30","16,562.59",141.10M,-0.58%,Negative
05/17/2023,"16,844.01","17,033.99","17,105.57","16,807.10",152.59M,-1.12%,Negative
05/16/2023,"17,033.99","17,135.55","17,139.51","16,903.18",190.11M,-0.59%,Negative
05/15/2023,"17,135.55","17,369.13","17,523.49","17,135.55",186.52M,-1.34%,Negative
05/14/2023,"17,369.13","17,270.69","17,373.28","17,151.67",181.62M,0.57%,Positive
05/11/2023,"17,270.69","17,494.73","17,556.44","17,204.93",170.67M,-1.28%,Negative
05/10/2023,"17,494.73","17,326.27","17,494.73","17,204.43",215.06M,0.97%,Positive
05/09/2023,"17,326.27","17,642.97","17,832.74","17,276.11",252.19M,-1.80%,Negative
05/08/2023,"17,642.97","17,235.31","17,642.97","17,235.31",183.73M,2.37%,Positive
05/07/2023,"17,235.31","17,295.27","17,296.63","17,109.60",108.86M,-0.35%,Negative
05/03/2023,"17,295.27","17,300.56","17,420.52","17,205.08",140.98M,-0.03%,Negative
05/02/2023,"17,300.56","17,310.83","17,367.17","17,207.96",132.50M,-0.06%,Negative
05/01/2023,"17,310.83","17,667.74","17,691.82","17,294.33",177.16M,-2.02%,Negative
04/30/2023,"17,667.74","17,796.91","18,142.59","17,613.85",268.10M,-0.73%,Negative
04/27/2023,"17,796.91","17,452.22","17,851.15","17,452.22",249.08M,1.98%,Positive
04/26/2023,"17,452.22","17,516.04","17,557.18","17,361.47",147.57M,-0.36%,Negative
04/19/2023,"17,516.04","17,538.97","17,644.11","17,427.59",177.57M,-0.13%,Negative
04/18/2023,"17,538.97","17,671.27","17,671.27","17,175.23",138.29M,-0.75%,Negative
04/13/2023,"17,671.27","16,741.45","17,671.27","16,741.45",126.24M,5.55%,Positive
04/12/2023,"16,741.45","17,011.68","17,011.68","16,696.78",136.76M,-1.59%,Negative
04/11/2023,"17,011.68","16,774.64","17,011.68","16,774.64",125.32M,1.41%,Positive
04/10/2023,"16,774.64","16,674.87","16,838.78","16,674.87",170.78M,0.60%,Positive
04/09/2023,"16,674.87","16,709.28","16,756.95","16,610.53",136.48M,-0.21%,Negative
04/06/2023,"16,709.28","17,019.25","17,036.33","16,709.28",115.69M,-1.82%,Negative
04/05/2023,"17,019.25","16,998.35","17,076.83","16,963.89",143.20M,0.12%,Positive
04/04/2023,"16,998.35","17,056.89","17,111.67","16,928.03",214.26M,-0.34%,Negative
04/03/2023,"17,056.89","16,694.46","17,107.33","16,694.46",228.28M,2.17%,Positive
04/02/2023,"16,694.46","16,418.53","16,694.46","16,416.13",90.50M,1.68%,Positive
03/30/2023,"16,418.53","16,411.37","16,644.74","16,284.65",144.34M,0.04%,Positive
03/29/2023,"16,411.37","15,906.42","16,411.37","15,906.42",154.68M,3.17%,Positive
03/28/2023,"15,906.42","15,950.09","15,998.32","15,696.62",117.32M,-0.27%,Negative
03/27/2023,"15,950.09","15,989.18","16,100.64","15,902.33",157.23M,-0.24%,Negative
03/26/2023,"15,989.18","15,625.08","16,013.47","15,625.08",141.19M,2.33%,Positive
